Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds, PrepMillisec,Diversity, UnweightedDiv, MinDiv, MaxDiv, MinUnw, MaxUnw
wikivote.txt.gz,KBest,5192,3104,10,7115,103689,45,102,59,4.0,16,16,238.0,238.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5884,2560,10,7115,103689,38,72,36,4.0,16,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5884,2560,10,7115,103689,38,72,36,4.0,15,15,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5584,1692,10,7115,103689,40,72,34,4.0,19,17,342.0,342.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5584,1692,10,7115,103689,40,72,34,4.0,17,17,300.0,300.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1588,1287,10,7115,103689,36,67,34,5.0,20,19,334.0,334.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,1588,1287,10,7115,103689,36,67,34,5.0,19,19,296.0,296.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4632,2247,10,7115,103689,51,96,47,4.0,20,17,262.0,262.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4632,2247,10,7115,103689,51,96,47,4.0,17,17,226.0,226.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2907,61,10,7115,103689,58,113,58,4.0,22,16,296.0,296.0,0.0,8.0,0.0,8.0
wikivote.txt.gz,KBest,2907,61,10,7115,103689,58,113,58,4.0,16,16,266.0,266.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1457,3028,10,7115,103689,33,71,40,3.0,21,19,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,1457,3028,10,7115,103689,33,71,40,3.0,19,19,242.0,242.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6923,183,10,7115,103689,30,51,41,5.0,17,16,384.0,384.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,KBest,6923,183,10,7115,103689,30,51,41,5.0,16,16,332.0,332.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,4040,2426,10,7115,103689,27,59,34,3.0,16,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,4040,2426,10,7115,103689,27,59,34,3.0,15,15,244.0,244.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,580,1636,10,7115,103689,35,80,54,4.0,19,17,346.0,346.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,580,1636,10,7115,103689,35,80,54,4.0,17,17,310.0,310.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3142,7618,10,7115,103689,36,73,39,3.0,19,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3142,7618,10,7115,103689,36,73,39,3.0,18,18,238.0,238.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2356,6458,10,7115,103689,46,116,72,3.0,17,14,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2356,6458,10,7115,103689,46,116,72,3.0,14,14,246.0,246.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2701,5162,10,7115,103689,29,59,32,3.0,18,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2701,5162,10,7115,103689,29,59,32,3.0,17,17,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3151,2638,10,7115,103689,51,98,50,5.0,17,14,346.0,346.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3151,2638,10,7115,103689,51,98,50,5.0,14,14,308.0,308.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4098,974,10,7115,103689,30,61,33,3.0,19,18,246.0,246.0,0.0,6.0,0.0,6.0
wikivote.txt.gz,KBest,4098,974,10,7115,103689,30,61,33,3.0,18,18,234.0,234.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1252,2825,10,7115,103689,33,75,44,4.0,21,18,320.0,320.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,1252,2825,10,7115,103689,33,75,44,4.0,18,18,304.0,304.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4654,1901,10,7115,103689,56,117,63,4.0,21,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,4654,1901,10,7115,103689,56,117,63,4.0,17,17,240.0,240.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6158,3293,10,7115,103689,30,62,34,4.0,17,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,6158,3293,10,7115,103689,30,62,34,4.0,16,16,240.0,240.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5746,6756,10,7115,103689,51,106,57,5.0,21,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5746,6756,10,7115,103689,51,106,57,5.0,18,18,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5980,959,10,7115,103689,46,104,61,4.0,18,15,332.0,332.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5980,959,10,7115,103689,46,104,61,4.0,15,15,312.0,312.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7565,2479,10,7115,103689,43,98,82,5.0,19,16,350.0,350.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,7565,2479,10,7115,103689,43,98,82,5.0,16,16,308.0,308.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,749,2968,10,7115,103689,47,112,67,3.0,19,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,749,2968,10,7115,103689,47,112,67,3.0,16,16,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1921,3520,10,7115,103689,29,57,30,4.0,20,19,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1921,3520,10,7115,103689,29,57,30,4.0,19,19,250.0,250.0,4.0,6.0,4.0,6.0
